
4x4_01_00001.txt,1,4397,4397,1,403.001
4x4_01_00002.txt,1,4397,4397,1,406.999
4x4_02_00001.txt,2,4912,4912,2,478.000
4x4_02_00002.txt,10,5506,5506,10,526.543
4x4_02_00003.txt,2,5242,5242,2,540.573
4x4_02_00004.txt,2,4912,4912,2,455.999
4x4_03_00001.txt,3,3917,3917,3,384.002
4x4_03_00002.txt,3,6725,6725,3,726.999
4x4_03_00003.txt,3,5478,5478,3,577.001
4x4_03_00004.txt,3,6725,6725,3,678.000
4x4_03_00005.txt,3,4186,4186,3,423.000
4x4_03_00006.txt,3,4893,4893,3,553.000
4x4_03_00007.txt,3,6140,6140,3,625.000
4x4_03_00008.txt,3,2475,2475,3,289.999
4x4_03_00009.txt,3,4505,4505,3,460.002
4x4_03_00010.txt,3,3917,3917,3,409.999
4x4_04_00001.txt,4,5257,5257,4,581.000
4x4_04_00002.txt,4,4295,4295,4,463.000
4x4_04_00003.txt,4,6834,6834,4,947.034
4x4_04_00004.txt,4,4340,4340,4,449.000
4x4_04_00005.txt,4,3710,3710,4,392.999
4x4_04_00006.txt,4,6249,6249,4,672.001
4x4_04_00007.txt,4,2584,2584,4,253.001
4x4_04_00008.txt,4,4614,4614,4,495.998
4x4_04_00009.txt,4,5257,5257,4,524.000
4x4_04_00010.txt,4,3546,3546,4,364.000
4x4_04_00011.txt,4,4810,4810,4,530.001
4x4_04_00012.txt,4,1963,1963,4,197.999
4x4_04_00013.txt,4,3432,3432,4,354.999
4x4_04_00014.txt,4,5971,5971,4,628.000
4x4_04_00015.txt,4,2306,2306,4,239.000
4x4_04_00016.txt,4,4336,4336,4,426.999
4x4_04_00017.txt,4,4979,4979,4,679.001
4x4_04_00018.txt,4,3268,3268,4,367.010
4x4_04_00019.txt,4,4810,4810,4,518.997
4x4_04_00020.txt,8,2061,2061,8,251.001
4x4_04_00021.txt,4,3565,3565,4,376.999
4x4_04_00022.txt,4,4208,4208,4,425.000
